"GO.ID","Term_full","Ontology","Annotated","Significant","Expected","PValue","Gene_IDs","Gene_symbols","Algorithm","PValue_FDR"
"GO:0009056","catabolic process","BP",464,5,2.67,0.128147741484403,"ENSCHAG00000003267, ENSCHAG00000012664, ENSCHAG00000022133, ENSCHAG00000025006, ENSCHAG00000025013","usp18, nr1d1, sec16b, spata18, usp46","classic",1
"GO:0006694","steroid biosynthetic process","BP",24,1,0.14,0.129483827522636,"ENSCHAG00000022110","RDH8","classic",1
"GO:0009064",NA,"BP",24,1,0.14,0.129483827522636,"ENSCHAG00000022196","glula","classic",1
"GO:0009145",NA,"BP",24,1,0.14,0.129483827522636,"ENSCHAG00000012097","atp5mc1","classic",1
"GO:0009206",NA,"BP",24,1,0.14,0.129483827522636,"ENSCHAG00000012097","atp5mc1","classic",1
"GO:0016050",NA,"BP",24,1,0.14,0.129483827522636,"ENSCHAG00000022133","sec16b","classic",1
"GO:0048484","enteric nervous system development","BP",24,1,0.14,0.129483827522636,"ENSCHAG00000012375","sema3c","classic",1
"GO:0009057",NA,"BP",218,3,1.25,0.130492811046434,"ENSCHAG00000003267, ENSCHAG00000025006, ENSCHAG00000025013","usp18, spata18, usp46","classic",1
"GO:0007165","signal transduction","BP",2395,18,13.78,0.131236292517883,"ENSCHAG00000000936, ENSCHAG00000001576, ENSCHAG00000004711, ENSCHAG00000005408, ENSCHAG00000008000, ENSCHAG00000009573, ENSCHAG00000009593, ENSCHAG00000009841, ENSCHAG00000010108, ENSCHAG00000011503, ENSCHAG00000012653, ENSCHAG00000012776, ENSCHAG00000013260, ENSCHAG00000013538, ENSCHAG00000013742, ENSCHAG00000019366, ENSCHAG00000022120, ENSCHAG00000027494","zmp:0000000711, pdgfra, gpr22a, pde3a, pik3cg, fzd8a, ENSCHAG00000009593, grm8a, fnbp1l, depdc1a, si:dkey-225f5.4, rapgefl1, cd36, ENSCHAG00000013538, magi2a, EPHB3, GNG12, fsd1","classic",1
"GO:0030834",NA,"BP",25,1,0.14,0.134504451053323,"ENSCHAG00000021706","scinla","classic",1
"GO:0030835","negative regulation of actin filament depolymerization","BP",25,1,0.14,0.134504451053323,"ENSCHAG00000021706","scinla","classic",1
"GO:0033013",NA,"BP",25,1,0.14,0.134504451053323,"ENSCHAG00000000436","cpox","classic",1
"GO:0046854","phosphatidylinositol phosphate biosynthetic process","BP",25,1,0.14,0.134504451053323,"ENSCHAG00000008000","pik3cg","classic",1
"GO:0060900","embryonic camera-type eye formation","BP",25,1,0.14,0.134504451053323,"ENSCHAG00000009573","fzd8a","classic",1
"GO:0071696","ectodermal placode development","BP",25,1,0.14,0.134504451053323,"ENSCHAG00000009573","fzd8a","classic",1
"GO:0009201",NA,"BP",26,1,0.15,0.139496548313948,"ENSCHAG00000012097","atp5mc1","classic",1
"GO:0043242",NA,"BP",26,1,0.15,0.139496548313948,"ENSCHAG00000021706","scinla","classic",1
"GO:1901880",NA,"BP",26,1,0.15,0.139496548313948,"ENSCHAG00000021706","scinla","classic",1
"GO:0000122","negative regulation of transcription by RNA polymerase II","BP",27,1,0.16,0.144460278943562,"ENSCHAG00000022113","dr1","classic",1
"GO:0009142","nucleoside triphosphate biosynthetic process","BP",27,1,0.16,0.144460278943562,"ENSCHAG00000012097","atp5mc1","classic",1
"GO:0170038",NA,"BP",27,1,0.16,0.144460278943562,"ENSCHAG00000022196","glula","classic",1
