"Ontology","GO.ID","Term_full","P_weight01","Significant","Annotated","Expected","Gene_symbols","P_classic","FDR_classic"
"BP","GO:0046496",NA,NA,NA,NA,NA,NA,0.259783781438617,1
"BP","GO:0006396",NA,NA,NA,NA,NA,NA,0.262602708631779,1
"BP","GO:0009605",NA,NA,NA,NA,NA,NA,0.264162473975114,1
"BP","GO:0008610",NA,NA,NA,NA,NA,NA,0.266899498570515,1
"BP","GO:0003012",NA,NA,NA,NA,NA,NA,0.268318297406498,1
"BP","GO:0006873",NA,NA,NA,NA,NA,NA,0.268318297406498,1
"BP","GO:0006887",NA,NA,NA,NA,NA,NA,0.268318297406498,1
"BP","GO:0030003",NA,NA,NA,NA,NA,NA,0.268318297406498,1
"BP","GO:0032984",NA,NA,NA,NA,NA,NA,0.268318297406498,1
"BP","GO:0072594",NA,NA,NA,NA,NA,NA,0.268318297406498,1
"BP","GO:0042221",NA,NA,NA,NA,NA,NA,0.268849208039884,1
"BP","GO:0008033",NA,NA,NA,NA,NA,NA,0.27254913145101,1
"BP","GO:0030239",NA,NA,NA,NA,NA,NA,0.27254913145101,1
"BP","GO:0031399",NA,NA,NA,NA,NA,NA,0.27254913145101,1
"BP","GO:0046034",NA,NA,NA,NA,NA,NA,0.27254913145101,1
"BP","GO:0170033",NA,NA,NA,NA,NA,NA,0.27254913145101,1
"BP","GO:0006952",NA,NA,NA,NA,NA,NA,0.273318220257085,1
"BP","GO:0070647",NA,NA,NA,NA,NA,NA,0.275457661221177,1
"BP","GO:0046907",NA,NA,NA,NA,NA,NA,0.27668329787,1
"BP","GO:0019220",NA,NA,NA,NA,NA,NA,0.276755864421214,1
"BP","GO:0045017",NA,NA,NA,NA,NA,NA,0.276755864421214,1
"BP","GO:0051174",NA,NA,NA,NA,NA,NA,0.276755864421214,1
"BP","GO:0072524",NA,NA,NA,NA,NA,NA,0.276755864421214,1
"BP","GO:0043687",NA,NA,NA,NA,NA,NA,0.277596920773272,1
"BP","GO:0098655",NA,NA,NA,NA,NA,NA,0.277596920773272,1
"BP","GO:0098660",NA,NA,NA,NA,NA,NA,0.277596920773272,1
"BP","GO:0010927",NA,NA,NA,NA,NA,NA,0.280938631541092,1
"BP","GO:0032989",NA,NA,NA,NA,NA,NA,0.280938631541092,1
"BP","GO:0060070",NA,NA,NA,NA,NA,NA,0.280938631541092,1
"BP","GO:0032774",NA,NA,NA,NA,NA,NA,0.281127856268769,1
"BP","GO:0006974",NA,NA,NA,NA,NA,NA,0.284012936669991,1
"BP","GO:0007346",NA,NA,NA,NA,NA,NA,0.28509756728753,1
"BP","GO:0141187",NA,NA,NA,NA,NA,NA,0.289079925434703,1
"BP","GO:0051129",NA,NA,NA,NA,NA,NA,0.289232805394388,1
"BP","GO:0003002",NA,NA,NA,NA,NA,NA,0.289268545088954,1
"BP","GO:0022411",NA,NA,NA,NA,NA,NA,0.293344478856534,1
"BP","GO:0006886",NA,NA,NA,NA,NA,NA,0.294696487872182,1
"BP","GO:0009617",NA,NA,NA,NA,NA,NA,0.297432719933869,1
"BP","GO:0051258",NA,NA,NA,NA,NA,NA,0.297432719933869,1
"BP","GO:0007389",NA,NA,NA,NA,NA,NA,0.300321060978027,1
