name_in_vcf	id	order_in_vcf	sampling_location	region	latitude	longitude	collection_season	species	order_in_admixture	correct_label	correct_label_2	bars_plot	color	order_in_admixture_bars
i_NDBs_4	15S3K430_Canada_Atlantic_Spring	117	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	68	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	70
i_NDBs_2	15S3K449_Canada_Atlantic_Spring	115	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	66	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	68
i_Pla_1	16S4Pla78_Canada_Atlantic_Spring	118	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	69	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	71
i_Pla_2	16S4Pla79_Canada_Atlantic_Spring	119	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	70	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	72
i_Pla_3	16S6Pla71_Canada_Atlantic_Spring	120	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	71	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	73
i_Pla_4	16S6Pla72_Canada_Atlantic_Spring	121	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	72	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	74
i_BDOL_1	16SBDO106_Canada_Atlantic_Spring	94	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	61	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	63
i_BDOL_2	16SBDO107_Canada_Atlantic_Spring	95	NA	Northwest_Atlantic_Ocean	48	-65.85	Spring	C.harengus	62	Canada_Spring	Canada_Spring_Summer	Canada_Spring_Summer	#DF9A65	64
AAL1_CelticSea_Atlantic_Winter	AAL1_CelticSea_Atlantic_Winter	1	Celtic_Sea	Northeast_Atlantic_Ocean	51.330612	-8.909912	Winter	C.harengus	86	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	86
AAL2_CelticSea_Atlantic_Winter	AAL2_CelticSea_Atlantic_Winter	2	Celtic_Sea	Northeast_Atlantic_Ocean	51.330612	-8.909912	Winter	C.harengus	87	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	87
AAL3_Celticsea_Atlantic_Winter	AAL3_Celticsea_Atlantic_Winter	3	Celtic_sea	Northeast_Atlantic_Ocean	51.330612	-8.909912	Winter	C.harengus	88	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	88
AF29_Norway_Atlantic_Spring	AF29_Norway_Atlantic_Spring	4	Norway	Northeast_Atlantic_Ocean	61.185625	4.658203	Spring	C.harengus	98	Norway_stationary	Norway_stationary	Norway_stationary	#1B9E77	95
AF30_Norway_Atlantic_Spring	AF30_Norway_Atlantic_Spring	5	Norway	Northeast_Atlantic_Ocean	61.185625	4.658203	Spring	C.harengus	99	Norway_stationary	Norway_stationary	Norway_stationary	#1B9E77	96
AF31_Norway_Atlantic_Spring	AF31_Norway_Atlantic_Spring	6	Norway	Northeast_Atlantic_Ocean	61.185625	4.658203	Spring	C.harengus	100	Norway_stationary	Norway_stationary	Norway_stationary	#1B9E77	97
AF8_Norway_Atlantic_Spring	AF8_Norway_Atlantic_Spring	7	Norway	Northeast_Atlantic_Ocean	61.185625	4.658203	Spring	C.harengus	101	Norway_stationary	Norway_stationary	Norway_stationary	#1B9E77	98
AK1_Downs_Atlantic_Winter	AK1_Downs_Atlantic_Winter	8	Downs	Northeast_Atlantic_Ocean	50.134664	-0.357056	Winter	C.harengus	77	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	77
AK2_Downs_Atlantic_Winter	AK2_Downs_Atlantic_Winter	9	Downs	Northeast_Atlantic_Ocean	50.134664	-0.357056	Winter	C.harengus	78	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	78
AK3_Downs_Atlantic_Winter	AK3_Downs_Atlantic_Winter	10	Downs	Northeast_Atlantic_Ocean	50.134664	-0.357056	Winter	C.harengus	79	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	79
AM27_Norway_Atlantic_Spring	AM27_Norway_Atlantic_Spring	11	Norway	Northeast_Atlantic_Ocean	64.866667	10.25	Spring	C.harengus	102	Norway_stationary	Norway_stationary	Norway_stationary	#1B9E77	99
AM29_Norway_Atlantic_Spring	AM29_Norway_Atlantic_Spring	12	Norway	Northeast_Atlantic_Ocean	64.866667	10.25	Spring	C.harengus	103	Norway_stationary	Norway_stationary	Norway_stationary	#1B9E77	100
AM33_Norway_Atlantic_Spring	AM33_Norway_Atlantic_Spring	13	Norway	Northeast_Atlantic_Ocean	64.866667	10.25	Spring	C.harengus	104	Norway_stationary	Norway_stationary	Norway_stationary	#1B9E77	101
AM8_Norway_Atlantic_Spring	AM8_Norway_Atlantic_Spring	14	Norway	Northeast_Atlantic_Ocean	64.866667	10.25	Spring	C.harengus	105	Norway_stationary	Norway_stationary	Norway_stationary	#1B9E77	102
BF16_HastKar_Baltic_Spring	BF16_HastKar_Baltic_Spring	15	Hästskär	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	109	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	112
BF18_HastKar_Baltic_Spring	BF18_HastKar_Baltic_Spring	16	Hästskär	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	110	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	113
BF19_HastKar_Baltic_Spring	BF19_HastKar_Baltic_Spring	17	Hästskär	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	111	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	114
BF21_HastKar_Baltic_Spring	BF21_HastKar_Baltic_Spring	18	Hästskär	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	112	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	115
BM14_HastKar_Baltic_Spring	BM14_HastKar_Baltic_Spring	19	Hästskär	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	113	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	116
BM15_HastKar_Baltic_Spring	BM15_HastKar_Baltic_Spring	20	Hästskär	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	114	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	117
BM16_HastKar_Baltic_Spring	BM16_HastKar_Baltic_Spring	21	Hästskär	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	115	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	118
BM19_HastKar_Baltic_Spring	BM19_HastKar_Baltic_Spring	22	Hästskär	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	116	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	119
CS10	CS10_CelticSea_Atlantic_Winter	23	Celtic_Sea	Atlantic	51.330612	-8.909912	Winter	C.harengus	80	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	80
CS2	CS2_CelticSea_Atlantic_Winter	24	Celtic_Sea	Atlantic	51.330612	-8.909912	Winter	C.harengus	81	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	81
CS4	CS4_CelticSea_Atlantic_Winter	25	Celtic_Sea	Atlantic	51.330612	-8.909912	Winter	C.harengus	82	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	82
CS5	CS5_CelticSea_Atlantic_Winter	26	Celtic_Sea	Atlantic	51.330612	-8.909912	Winter	C.harengus	83	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	83
CS7	CS7_CelticSea_Atlantic_Winter	27	Celtic_Sea	Atlantic	51.330612	-8.909912	Winter	C.harengus	84	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	84
CS8	CS8_CelticSea_Atlantic_Winter	28	Celtic_Sea	Atlantic	51.330612	-8.909912	Winter	C.harengus	85	Ireland_Britain	Ireland_Britain	Britain_Ireland_NorthSea	#72FEFF	85
F1	F1_HastKar_Baltic_Spring	29	HastKar	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	117	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	120
F2	F2_HastKar_Baltic_Spring	30	HastKar	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	118	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	121
F3L312_Canada_Atlantic_Autumn	F3L312_Canada_Atlantic_Autumn	32	Bonavista_Bay	Northwest_Atlantic_Ocean	48.816667	-53.333333	Autumn	C.harengus	75	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	53
F3L337_Canada_Atlantic_Autumn	F3L337_Canada_Atlantic_Autumn	33	Bonavista_Bay	Northwest_Atlantic_Ocean	48.816667	-53.333333	Autumn	C.harengus	76	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	54
F3	F3_HastKar_Baltic_Spring	31	HastKar	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	119	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	122
F4TH327_Canada_Atlantic_Autumn	F4TH327_Canada_Atlantic_Autumn	35	Northumberland_Strait	Northwest_Atlantic_Ocean	45.733333	-62.6	Autumn	C.harengus	51	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	51
F4TH337_Canada_Atlantic_Autumn	F4TH337_Canada_Atlantic_Autumn	36	Northumberland_Strait	Northwest_Atlantic_Ocean	45.733333	-62.6	Autumn	C.harengus	52	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	52
F4XQgb402_Canada_Atlantic_Autumn	F4XQgb402_Canada_Atlantic_Autumn	37	German_Banks	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	31	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	31
F4XQgb408_Canada_Atlantic_Autumn	F4XQgb408_Canada_Atlantic_Autumn	38	German_Banks	Northwest_Atlantic_Ocean	43.266667	-66.3	Autumn	C.harengus	32	Canada_Autumn	Canada_Autumn	Canada_Autumn	#D95F02	32
F4	F4_HastKar_Baltic_Spring	34	HastKar	Baltic_Sea	60.532414	17.739702	Spring	C.harengus	120	Baltic_Spring	Baltic_Spring	Baltic_Sea_Spring	#7570B3	123
